taxonomic lineage,TR2-64-1,WC-10-1,TR1-62-2,TR2-44-2,WC-30-2,TR1-52-2,TR1-42-2,TR2-24-2,WC-50-2,WC-40-2,WC-35-2,TR1-32-2,WC-20-2,TR2-34-2,Mel1-3,Mel1M-2,Mel2S-3,Mel3S-1,Ritt1-3,Ritt3-3,Ritt3M-3
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,1208,0,0,0,2240,467,1189,0,99,0,521,1545,1129,2897,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,17,31,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,10,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,370,0,0,0,0,8,401,0,103,0,0,0,0,331,0,0,13
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,15,0,0,358,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,51,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,74,0,8,20,58,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,83,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,9,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
