"","ASV","TR2-64-1","WC-10-1","TR1-62-2","TR2-44-2","WC-30-2","TR1-52-2","TR1-42-2","TR2-24-2","WC-50-2","WC-40-2","WC-35-2","TR1-32-2","Mel1-3","Mel1M-2","Mel2S-3","Mel3S-1","Ritt1-3","Ritt3-3","Ritt3M-3","WC-20-2","TR2-34-2","count","reads","median","dev"
"25","ASV_25",0,0,0.0055754679,0.0137989932,0,0.0553405799,0.0756849407,0.0004008016,0,0,0,0.0139734021,0,0,0,0,0,0.0003042565,0,0,0.0191349249,"8",0.00877206508571429,0,0.0199474446683748
"26","ASV_27",0,0,0,0,0.0091317612,0,0,0,0.0008834616,0.0244228201,0.0128256424,0,0.0008095821,0.0209456971,0.0360576923,0.0251330124,0,0,0,0.0352262964,0,"9",0.00787790312380952,0,0.0125577613370651
"27","ASV_28",0,0,0,0,0.004452507,0,0,0,0.015470394,0.023182599,0.026829377,0,0.012039939,0.029913141,0.012674825,0.005489401,0,0.008884291,0.002308707,0.022504919,0,"11",0.00779762380952381,0.002308707,0.0101509053257368
"28","ASV_29",0,0,0.0102706,0.01384394,0,0.01215315,0.01379255,0,0,0,0,0.0275949,0,0,0,0,0,0,0,0,0.04416883,"6",0.00580114142857143,0,0.0114906904921494
"29","ASV_30",0,0,0,0,0.0264058377,0,0,0,0.02446207,0,0.0274073086,0,0.007037137,0.0172417528,0,0.030960223,0,0.0007606414,0,0,0,"7",0.00639404621428571,0,0.011167306415476
"30","ASV_32",0,0,0.0140015511,0.0054386911,0,0.0548738989,0.0273708455,0.0001603206,0.0001374274,0,0,0.0053811528,0.0001245511,0,0,0,0.0166401823,0.0027078833,0.0020024501,0,0.0140856578,"12",0.00680593390476191,0.0001374274,0.0132831774507223
"31","ASV_33",0,0,0,0,0.0345893799,0,0,0,0.0211638134,0.0005724098,0.01069174,0,0.0004982044,0.0060649382,0.0233100233,0.0321763365,0,0,0,0.0057925224,0,"9",0.00642187466190476,0,0.0112742671926428
"32","ASV_34",0,0,0,0,0.0007833113,0,0,0,0.00958065,0.001311773,0.0009113541,0,6.227555e-05,0.008079364,0.07879274,0.03219323,0,0,0,0.001468917,0,"9",0.00634207690238095,0,0.0181141252481956
"33","ASV_35",0,0,0.002158922,0.009731212,0.004452507,0,0.002142532,0.001763527,0,0,0.003556504,0.001480917,0.009590434,0.008837481,0.015952797,0.007820285,0,0.004989807,0.046409725,0.001108617,0.010588754,"15",0.00621828671428571,0.002158922,0.010265362266729
"34","ASV_36",0,0,0.002200843,0.01469795,0,0.0007583565,0.01106082,0.01517702,0,0,0,5.865017e-05,0,0,0,0,0,0,0,0,0.06564047,"7",0.00521876712714286,0,0.0146813841796952
